Raison Sociale;SIREN;Année;Note;Structure;Nom UES;Entreprises UES (SIREN);Région;Département
BOULANGER CUSTOMER CARE;519197503;2020;94;Entreprise;;;Hauts-de-France;Nord
BACARDI-MARTINI France;414749200;2020;;Entreprise;;;Île-de-France;Seine-Saint-Denis
MILLEIS BANQUE ;344748041;2020;93;Unité Economique et Sociale (UES);;MILLEIS VIE (384532172);Île-de-France;Paris
MOULIN DE LA MARCHE;334766177;2020;90;Entreprise;;;Bretagne;Finistère
CESI ASSOCIAITON;775722572;2020;99;Entreprise;;;Île-de-France;Hauts-de-Seine
FACEO FM SUD OUEST;535258925;2020;92;Entreprise;;;Occitanie;Haute-Garonne
NEURELEC;487829574;2020;75;Entreprise;;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes
HOLDING CABINET MERLIN;954506614;2020;83;Unité Economique et Sociale (UES);;CABINET MERLIN (428634356);Auvergne-Rhône-Alpes;Rhône
DUTY FREE ASSOCIATES;423402312;2020;97;Entreprise;;;Île-de-France;Hauts-de-Seine
SIEMENS HEALTHCARE;810794800;2020;78;Entreprise;;;Île-de-France;Seine-Saint-Denis
Yusen Logistics France;432599785;2020;76;Entreprise;;;Auvergne-Rhône-Alpes;Isère
VITRY DISTRIBUTION;328386669;2020;92;Entreprise;;;Île-de-France;Val-de-Marne
AGIS;387744493;2020;68;Entreprise;;;Provence-Alpes-Côte d'Azur;Vaucluse
NEW PRIMONIAL HOLDING 2;852684380;2020;96;Unité Economique et Sociale (UES);;NEW PRIMONIAL HOLDING (824897326),PRIMONIAL HOLDING (528812688),PRIMONIAL (484304696),PRIMONIAL REAL ESTATE INVESTMENT MANAGEMENT (531231124),SPORTINVEST (422835199),PRIMONIAL PARTENAIRES (504162439),DS INVESTMENT SOLUTIONS (820648806),SEFAL PROPERTY (348593757),STONE HOLDING (884030842),PRIMONIAL INGENIERIE & DEVELOPPEMENT (884030834);Île-de-France;Paris
Spie batignolles génie civil;428637987;2020;76;Entreprise;;;Île-de-France;Hauts-de-Seine
ARILE;315063214;2020;;Entreprise;;;Île-de-France;Seine-et-Marne
SAS CAFAN;493983431;2020;88;Entreprise;;;Île-de-France;Paris
Clinique Saint Cyprien Rive Gauche;808230494;2020;91;Entreprise;;;Occitanie;Haute-Garonne
ACSEA;775561392;2020;78;Entreprise;;;Normandie;Calvados
ASSOCIATION;775618150;2020;82;Entreprise;;;Grand-Est;Moselle
SURAVENIR ASSURANCES;343142659;2020;93;Entreprise;;;Pays de la Loire;Loire-Atlantique
ORAPI HYGIENE;440319473;2019;73;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
STILL ;348937012;2020;;Entreprise;;;Île-de-France;Seine-et-Marne
Autocars Darche Gros;301272035;2020;70;Entreprise;;;Île-de-France;Seine-et-Marne
CRÉDIT SOCIAL DES FONCTIONNAIRES;775659360;2020;91;Unité Economique et Sociale (UES);;CREDIT ET SERVICES FINANCIERSR (303477319),CSF ASSURANCES (322950148);Île-de-France;Paris
SAS DSI;398997270;2020;74;Entreprise;;;Occitanie;Haute-Garonne
happytal;790294615;2020;81;Entreprise;;;Île-de-France;Paris
ALLECDIS;791230725;2020;84;Entreprise;;;Pays de la Loire;Sarthe
CARTONNERIES DE GONDARDENNES;575680269;2020;;Entreprise;;;Hauts-de-France;Pas-de-Calais
COMPAGNIE NATIONALE DU RHONE;957520901;2020;89;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
PREVOIR VIE;343286183;2020;91;Entreprise;;;Île-de-France;Paris
DAVEY BICKFORD;720501410;2020;88;Entreprise;;;Bourgogne-Franche-Comté;Yonne
TOP CHRONO;302493416;2020;;Entreprise;;;Île-de-France;Seine-Saint-Denis
SAS ROCADIS;327280319;2020;;Entreprise;;;Nouvelle-Aquitaine;Vienne
DIRICKX INDUSTRIES CONGRIER;403033699;2020;;Unité Economique et Sociale (UES);;PICOT (830922688);Pays de la Loire;Mayenne
LES PEP CBFC;833012016;2020;99;Entreprise;;;Bourgogne-Franche-Comté;Côte-d'Or
SODIRENNES;320292204;2020;98;Entreprise;;;Bretagne;Ille-et-Vilaine
ROADIS;513193136;2020;90;Entreprise;;;Auvergne-Rhône-Alpes;Loire
PRO BTP;394164966;2020;92;Entreprise;;;Île-de-France;Paris
PROCHEQUE NORD;434040119;2020;95;Entreprise;;;Hauts-de-France;Nord
TEFAL SAS;301520920;2020;92;Entreprise;;;Auvergne-Rhône-Alpes;Haute-Savoie
REX ROTARY;383359510;2020;89;Entreprise;;;Île-de-France;Seine-Saint-Denis
COMPAGNIE INDUSTRIELLE DE CHAUFFE EAU;393334446;2020;75;Entreprise;;;Grand-Est;Haut-Rhin
PARIS PROPRETE IMMEUBLE;482467479;2020;87;Unité Economique et Sociale (UES);;VOTRE SOLUTION POUBELLES (529067225);Île-de-France;Paris
MAN Truck & Bus France;318919065;2019;87;Entreprise;;;Île-de-France;Essonne
UES UNIR;334487337;2020;99;Entreprise;;;Nouvelle-Aquitaine;Gironde
SNC LABENNE ROUGIER;403512395;2020;87;Entreprise;;;Nouvelle-Aquitaine;Gironde
SUD SERVICE;343952859;2020;79;Entreprise;;;Occitanie;Hérault
NEWREST FRANCE;412575623;2020;86;Entreprise;;;Occitanie;Haute-Garonne
GUISNEL DISTRIBUTION;315064501;2020;;Entreprise;;;Bretagne;Ille-et-Vilaine
société par actions simplifiée;348867904;2020;;Entreprise;;;Île-de-France;Val-de-Marne
GROUPE VITAL;509762449;2020;78;Unité Economique et Sociale (UES);;VITAL INGENERIE (451948830),VITAL IT (820742088);Île-de-France;Hauts-de-Seine
DACHSER FRANCE SAS;546650334;2020;87;Entreprise;;;Pays de la Loire;Vendée
KAMELIA;519398119;2020;79;Entreprise;;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes
G2S SECURITE;482087004;2020;;Entreprise;;;Île-de-France;Seine-Saint-Denis
SAS;775667637;2020;88;Entreprise;;;Nouvelle-Aquitaine;Corrèze
OLYMPUS FRANCE SAS;582026324;2020;85;Entreprise;;;Île-de-France;Val-de-Marne
SUEZ GROUPE;410118608;2020;84;Unité Economique et Sociale (UES);;SUEZ (433466570);Île-de-France;Hauts-de-Seine
CAISSE D'ALLOCATIONS FAMILIALES DU BAS-RHIN;778868497;2020;93;Entreprise;;;Grand-Est;Bas-Rhin
SDEL TERTIAIRE;443975735;2020;89;Entreprise;;;Île-de-France;Hauts-de-Seine
CONSERVERIE MORBIHANNAISE;859500290;2020;89;Entreprise;;;Bretagne;Morbihan
